DEBUG:root:[1583131353380];
DEBUG:root:[1583133384189]X:356;Y:365;Z:436;V:420;
DEBUG:root:[1583133384216]X:356;Y:362;Z:436;V:488;
DEBUG:root:[1583133384246]X:356;Y:362;Z:436;V:354;
DEBUG:root:[1583133384270]X:355;Y:364;Z:435;V:446;
DEBUG:root:[1583133384299]X:356;Y:362;Z:438;V:479;
DEBUG:root:[1583133384323]X:356;Y:362;Z:436;V:352;
DEBUG:root:[1583133384352]X:358;Y:363;Z:436;V:472;
DEBUG:root:[1583133384380]X:356;Y:362;Z:436;V:458;
DEBUG:root:[1583133384406]X:356;Y:363;Z:436;V:353;
DEBUG:root:[1583133384434]X:358;Y:363;Z:437;V:488;
DEBUG:root:[1583133384459]X:356;Y:364;Z:435;V:430;
DEBUG:root:[1583133384487]X:356;Y:363;Z:437;V:365;
DEBUG:root:[1583133384516]X:357;Y:362;Z:436;V:503;
DEBUG:root:[1583133384540]X:355;Y:363;Z:435;V:410;
DEBUG:root:[1583133384569]X:355;Y:363;Z:438;V:382;
DEBUG:root:[1583133384593]X:356;Y:362;Z:436;V:509;
DEBUG:root:[1583133384622]X:358;Y:362;Z:437;V:385;
DEBUG:root:[1583133384651]X:355;Y:362;Z:437;V:403;
DEBUG:root:[1583133384676]X:356;Y:362;Z:435;V:506;
DEBUG:root:[1583133384704]X:358;Y:363;Z:436;V:367;
DEBUG:root:[1583133384729]X:355;Y:365;Z:437;V:432;
DEBUG:root:[1583133384757]X:356;Y:362;Z:435;V:493;
DEBUG:root:[1583133384786]X:355;Y:362;Z:435;V:354;
DEBUG:root:[1583133384811]X:356;Y:363;Z:436;V:456;
DEBUG:root:[1583133384840]X:356;Y:363;Z:435;V:475;
DEBUG:root:[1583133384864]X:356;Y:362;Z:435;V:347;
DEBUG:root:[1583133384893]X:357;Y:361;Z:434;V:478;
DEBUG:root:[1583133384917]X:355;Y:361;Z:434;V:448;
DEBUG:root:[1583133384947]X:354;Y:361;Z:430;V:351;
DEBUG:root:[1583133384974]X:356;Y:365;Z:434;V:500;
DEBUG:root:[1583133384999]X:355;Y:365;Z:435;V:421;
DEBUG:root:[1583133385028]X:355;Y:362;Z:435;V:347;
DEBUG:root:[1583133385053]X:355;Y:362;Z:434;V:517;
DEBUG:root:[1583133385081]X:360;Y:362;Z:434;V:386;
DEBUG:root:[1583133385110]X:356;Y:364;Z:442;V:385;
DEBUG:root:[1583133385134]X:356;Y:364;Z:437;V:520;
DEBUG:root:[1583133385163]X:358;Y:364;Z:435;V:364;
